Product Name,Category,Ingredients,Detected Colorants,Health Risk,Image Filename,
Pran Potato Chips,Chips,"Potatoes, palm oil, salt, Allura Red (E129)",Allura Red (E129),High,pran_chips.png,
Mr. Twist Chips,Chips,"Potatoes, sunflower oil, salt",None,Low,mr_twist.png,
Olympic Biscuit,Biscuit,"Wheat flour, sugar, vegetable oil, Tartrazine (E102)",Tartrazine (E102),High,olympic_biscuit.png,
Fruto Mango Drink,Drink,"Water, mango pulp, sugar, Sunset Yellow (E110)",Sunset Yellow (E110),High,fruto_mango.png,
Cadbury Dairy Milk Chocolate,Chocolate,"Cocoa, milk, sugar, Carmoisine (E122)",Carmoisine (E122),High,cadbury_dairy.png,
Tiger Crunch Biscuits,Biscuit,"Maida, sugar, palm oil, Brilliant Blue (E133)",Brilliant Blue (E133),High,tiger_crunch.png,
Clemon Lemon Juice,Drink,"Water, lemon juice, sugar",None,Low,clemon_lemon.png,
Kwality Wall's Ice Cream,Dessert,"Milk, sugar, cream, Ponceau 4R (E124)",Ponceau 4R (E124),High,kwality_icecream.png,
Sunlite Orange Drink,Drink,"Water, orange flavor, sugar, Sunset Yellow (E110)",Sunset Yellow (E110),High,sunlite_orange.png,
Energy Plus Biscuit,Biscuit,"Wheat flour, sugar, vegetable oil",None,Low,energy_plus.png,
Lays Classic Salted Chips,Chips,"Potatoes, vegetable oil, salt",None,Low,lays_classic.png,
Fanta Orange Soda,Drink,"Carbonated water, sugar, Sunset Yellow (E110), orange flavor",Sunset Yellow (E110),High,fanta_orange.png,
Danish Condensed Milk,Dairy,"Milk, sugar",None,Low,danish_milk.png,
Horlicks Malt Drink,Drink,"Milk solids, barley malt, sugar",None,Low,horlicks.png,
Kurkure Masala Munch,Chips,"Corn, vegetable oil, salt, Allura Red (E129)",Allura Red (E129),High,kurkure_masala.png,
Milky Mist Yogurt,Dairy,"Milk, sugar",None,Low,milky_mist.png,
Good Day Butter Cookies,Biscuit,"Wheat flour, sugar, butter, Tartrazine (E102)",Tartrazine (E102),High,good_day.png,
Pepsi Cola,Drink,"Carbonated water, sugar, Caramel (E150d), phosphoric acid",Caramel (E150d),Low,pepsi.png,
Aarong Chocolate Milk,Drink,"Milk, sugar, cocoa",None,Low,aarong_choco.png,
Ruchi Mixed Fruit Jam,Condiment,"Fruit pulp, sugar, Ponceau 4R (E124)",Ponceau 4R (E124),High,ruchi_jam.png,
Pran Tomato Chips,Chips,"Potatoes, palm oil, spices, Sunset Yellow (E110)",Sunset Yellow (E110),High,pran_tomato.png,
Cheetos Cheese Flavor,Chips,"Corn, vegetable oil, cheese powder, Allura Red (E129)",Allura Red (E129),High,cheetos_cheese.png,
Aloz Bhujia,Snacks,"Gram flour, vegetable oil, salt, Tartrazine (E102)",Tartrazine (E102),High,aloz_bhujia.png,
Noodles Masala,Instant Food,"Wheat flour, palm oil, spices, Carmoisine (E122)",Carmoisine (E122),High,noodles_masala.png,
Glucose Biscuits,Biscuit,"Wheat flour, sugar, vegetable oil, Tartrazine (E102)",Tartrazine (E102),High,glucose_biscuit.png,
Sunlite Cream Crackers,Biscuit,"Wheat flour, yeast, salt",None,Low,sunlite_crackers.png,
Pran Coconut Biscuits,Biscuit,"Wheat flour, sugar, coconut, Brilliant Blue (E133)",Brilliant Blue (E133),High,pran_coconut.png,
Unibic Chocolate Cookies,Biscuit,"Wheat flour, sugar, cocoa, Carmoisine (E122)",Carmoisine (E122),High,unibic_cookies.png,
Olympic Hi-Cal Biscuits,Biscuit,"Wheat flour, sugar, milk powder, Sunset Yellow (E110)",Sunset Yellow (E110),High,olympic_hical.png,
Slice Mango Juice,Drink,"Water, mango concentrate, sugar, Sunset Yellow (E110)",Sunset Yellow (E110),High,slice_mango.png,
Speed Energy Drink,Drink,"Water, sugar, caffeine, Tartrazine (E102)",Tartrazine (E102),High,speed_energy.png,
Mojo Cola,Drink,"Carbonated water, sugar, Caramel (E150d)",Caramel (E150d),Low,mojo_cola.png,
Pran Lychee Drink,Drink,"Water, lychee pulp, sugar, Ponceau 4R (E124)",Ponceau 4R (E124),High,pran_lychee.png,
Frooti Mango Drink,Drink,"Water, mango pulp, sugar",None,Low,frooti_mango.png,
KitKat Chocolate,Chocolate,"Cocoa, milk, sugar, Carmoisine (E122)",Carmoisine (E122),High,kitkat.png,
Snickers Bar,Chocolate,"Peanuts, caramel, milk, nougat",None,Low,snickers.png,
Kandos Dark Chocolate,Chocolate,"Cocoa, sugar, cocoa butter",None,Low,kandos.png,
Dairy Milk Silk,Chocolate,"Cocoa, milk, sugar, Carmoisine (E122)",Carmoisine (E122),High,dairymilk_silk.png,
Nutella Hazelnut Spread,Spread,"Hazelnuts, cocoa, sugar, palm oil",None,Low,nutella.png,
Igloo Ice Cream,Dessert,"Milk, sugar, cream, Ponceau 4R (E124)",Ponceau 4R (E124),High,igloo_icecream.png,
Polar Yogurt,Dairy,"Milk, sugar, live cultures",None,Low,polar_yogurt.png,
Aarong Misti Doi,Dairy,"Milk, sugar, culture",None,Low,aarong_doi.png,
Marks Milk Cake,Dessert,"Milk, sugar, Carmoisine (E122)",Carmoisine (E122),High,marks_cake.png,
Sweet Bengal Roshogolla,Dessert,"Chhena, sugar, rose water",None,Low,roshogolla.png,
Pran Chanachur,Snacks,"Fried lentils, peanuts, spices, Sunset Yellow (E110)",Sunset Yellow (E110),High,pran_chanachur.png,
Mr. Cookies,Biscuit,"Wheat flour, sugar, butter",None,Low,mr_cookies.png,
Teer Toast Biscuit,Biscuit,"Wheat flour, sugar, vegetable oil, Tartrazine (E102)",Tartrazine (E102),High,teer_toast.png,
Pran Jhal Muri,Snacks,"Puffed rice, spices, Tartrazine (E102)",Tartrazine (E102),High,pran_jhalmuri.png,
Farm Fresh Milk,Dairy,Milk,None,Low,farm_fresh.png,
RC Cola,Drink,"Carbonated water, sugar, Caramel (E150d)",Caramel (E150d),Low,rc_cola.png,
Pran Mango Juice,Drink,"Water, mango pulp, sugar, Sunset Yellow (E110)",Sunset Yellow (E110),High,pran_mango.png,
Pran Cream Crackers,Biscuit,"Wheat flour, yeast, salt",None,Low,pran_crackers.png,
Shezan Mango Drink,Drink,"Water, mango pulp, sugar, Tartrazine (E102)",Tartrazine (E102),High,shezan_mango.png,
Pran Noodles,Instant Food,"Wheat flour, palm oil, spices, Carmoisine (E122)",Carmoisine (E122),High,pran_noodles.png,
Mum's Magic Biscuit,Biscuit,"Wheat flour, sugar, butter",None,Low,mums_magic.png,
Pran Choco Biscuit,Biscuit,"Wheat flour, sugar, cocoa, Carmoisine (E122)",Carmoisine (E122),High,pran_choco.png,
Pran Butter Cookies,Biscuit,"Wheat flour, sugar, butter, Tartrazine (E102)",Tartrazine (E102),High,pran_butter.png,
Pran Strawberry Drink,Drink,"Water, strawberry flavor, sugar, Ponceau 4R (E124)",Ponceau 4R (E124),High,pran_strawberry.png,
Pran Spicy Nuts,Snacks,"Peanuts, spices, Sunset Yellow (E110)",Sunset Yellow (E110),High,pran_nuts.png,
Pran Chocolate Milk,Drink,"Milk, sugar, cocoa",None,Low,pran_chocomilk.png,
Pran Coconut Cookies,Biscuit,"Wheat flour, sugar, coconut, Brilliant Blue (E133)",Brilliant Blue (E133),High,pran_coconut_cookies.png,
Pran Litchi Drink,Drink,"Water, litchi pulp, sugar, Ponceau 4R (E124)",Ponceau 4R (E124),High,pran_litchi.png,
Pran Sweet Yogurt,Dairy,"Milk, sugar, culture",None,Low,pran_yogurt.png,
Pran Spicy Chanachur,Snacks,"Fried lentils, spices, Tartrazine (E102)",Tartrazine (E102),High,pran_spicy_chanachur.png,
Pran Vanilla Biscuit,Biscuit,"Wheat flour, sugar, vanilla",None,Low,pran_vanilla.png,
Pran Orange Drink,Drink,"Water, orange flavor, sugar, Sunset Yellow (E110)",Sunset Yellow (E110),High,pran_orange.png,
